seed,mean_aspect_ratio,fraction_elongated,fraction_round,fraction_binary
1099062448631258,1.0014585714285718,0.0001,0.9942428571428571,0.005657142857142861
853827592514924,1.0111614285714285,4.2857142857142856e-05,0.9515714285714287,0.04838571428571429
1052030010736714,1.0003685714285715,1.4285714285714285e-05,0.9968999999999998,0.0030857142857142876
993068073743470,1.5939442857142854,0.2655000000000001,0.5946142857142858,0.13988571428571425
375074238073900,1.0026957142857138,0.00024285714285714297,0.9914571428571427,0.008300000000000005
416178520884477,1.0007085714285722,5.714285714285714e-05,0.9963142857142856,0.0036285714285714302
874051135843279,1.0064814285714287,0.00021428571428571438,0.9589142857142856,0.04087142857142856
12944511869278,1.0104142857142855,0.0,0.9592428571428574,0.04075714285714284
542029227742456,1.0090071428571434,0.0,0.959571428571429,0.04042857142857142
1011744331896734,1.009372857142857,0.0,0.9658142857142857,0.03418571428571427
211701226972609,1.011297142857143,0.0,0.9332428571428574,0.06675714285714288
292918525777755,1.0102328571428565,0.0,0.9516714285714291,0.04832857142857143
731147908347497,1.1102385714285714,0.037171428571428584,0.8834571428571429,0.07937142857142859
985549376192247,1.008222857142857,4.2857142857142856e-05,0.9702571428571424,0.02969999999999999
873456432950595,1.0098728571428575,0.0,0.9427714285714284,0.05722857142857139
422219896800918,1.010442857142857,0.0,0.9506285714285718,0.049371428571428566
900740014674953,1.010232857142857,0.0,0.9453571428571428,0.05464285714285714
1020578668480920,1.0004528571428577,4.2857142857142856e-05,0.9969142857142854,0.003042857142857145
343569160877337,1.0112071428571434,0.0,0.9498428571428577,0.05015714285714285
78804909138230,1.1740614285714286,0.06751428571428573,0.8500999999999999,0.08238571428571427
333614425743970,1.0095414285714288,0.0,0.9387285714285714,0.061271428571428595
974443487743328,1.0089171428571426,0.0,0.9571000000000006,0.042899999999999994
703985244396274,1.1433157142857144,0.05135714285714283,0.8618428571428574,0.08679999999999999
1122578106359740,1.2143085714285713,0.0824142857142857,0.8225285714285715,0.09505714285714288
492938554100859,1.0101357142857144,0.0,0.9443285714285715,0.055671428571428566
170902461924754,1.000478571428572,4.2857142857142856e-05,0.9971,0.0028571428571428593
260045648084392,1.0109057142857143,0.0,0.946171428571429,0.053828571428571406
450419983107763,1.0028100000000002,0.0,0.9735142857142856,0.02648571428571428
543308666121182,1.163538571428571,0.06182857142857142,0.8539428571428571,0.08422857142857147
593849570694833,1.0005557142857147,0.0001,0.9969714285714287,0.002928571428571431
582382717235568,1.0114828571428574,0.0,0.9542142857142856,0.04578571428571427
1123570616129223,1.0090828571428574,0.0,0.9535714285714287,0.04642857142857142
680622798933824,1.0117014285714283,0.0,0.9465142857142861,0.05348571428571429
201764007966294,1.0142157142857144,0.0005142857142857146,0.9558857142857143,0.04359999999999998
453356923466257,1.0200357142857144,0.003342857142857145,0.9595714285714286,0.03708571428571428
346214149398000,1.1898485714285711,0.07021428571428572,0.8351857142857143,0.09459999999999999
353918643079908,1.2530985714285716,0.09618571428571429,0.789557142857143,0.11425714285714286
971536625474344,1.0005671428571434,7.142857142857143e-05,0.9965285714285715,0.003400000000000002
799035771825238,1.0795071428571426,0.025157142857142822,0.9015571428571428,0.07328571428571429
1114806189928891,1.0005500000000005,7.142857142857143e-05,0.9964714285714283,0.0034571428571428596
216465895742590,1.115345714285714,0.038700000000000005,0.8846428571428571,0.07665714285714287
926435018171726,1.0098471428571427,0.0,0.9412000000000003,0.058800000000000005
744517311885370,1.145872857142857,0.05105714285714282,0.8585285714285713,0.09041428571428572
812580382463326,1.000371428571429,1.4285714285714285e-05,0.9969714285714283,0.0030142857142857163
521742092743191,1.0097757142857138,0.0,0.9626571428571432,0.037342857142857136
1008612444973162,1.0004585714285716,2.857142857142857e-05,0.997085714285714,0.0028857142857142875
121838283310165,1.0109171428571428,0.0,0.9568714285714292,0.04312857142857142
431006493426170,1.011044285714286,5.714285714285714e-05,0.9591857142857148,0.04075714285714285
765322069857382,1.0091428571428571,0.0005571428571428573,0.9459,0.053542857142857135
725201757884584,1.0057814285714286,0.00011428571428571428,0.9539142857142857,0.045971428571428566
184656659025018,1.0100514285714286,0.0,0.9597285714285718,0.04027142857142855
1034686135547599,1.0000942857142865,0.0,0.9990714285714288,0.000928571428571429
380972098894405,1.0107314285714288,0.0,0.9503714285714288,0.04962857142857141
742183958399040,1.0046128571428572,0.0,0.9584714285714289,0.04152857142857143
37852570490343,1.0071814285714284,0.0,0.9406571428571429,0.059342857142857156
734109262104827,1.0104828571428572,0.0,0.9548285714285714,0.045171428571428564
401686787590537,1.0308400000000002,0.007542857142857146,0.9322428571428574,0.060214285714285685
350020380685320,1.2521085714285713,0.09898571428571427,0.7894428571428568,0.11157142857142857
484612500106051,1.0111271428571427,0.0,0.9516285714285715,0.04837142857142855
604884003999171,1.1866042857142851,0.06831428571428576,0.8324142857142854,0.0992714285714286
501697692195937,1.2545099999999998,0.09532857142857143,0.7867142857142858,0.11795714285714287
851083349436041,1.0177157142857145,0.003585714285714287,0.9656428571428567,0.03077142857142855
796940938751527,1.041332857142857,0.011614285714285721,0.9333857142857139,0.05499999999999999
7713914261614,1.2581542857142856,0.10012857142857144,0.7838285714285715,0.11604285714285716
576259920081951,1.263918571428571,0.10167142857142857,0.7826714285714286,0.11565714285714286
1070126987202609,1.282895714285714,0.11280000000000001,0.7700571428571428,0.11714285714285719
162309295428918,1.0057714285714292,0.0,0.9482142857142857,0.05178571428571427
1068084324211974,1.0103328571428571,0.0,0.9530714285714282,0.04692857142857141
351091003490802,1.0107414285714285,0.0,0.9420857142857144,0.057914285714285745
476623210066927,1.0641842857142858,0.018485714285714255,0.9054285714285715,0.07608571428571427
931910273456500,1.0116928571428578,0.0002428571428571429,0.9544714285714289,0.04528571428571426
460717270137620,1.0105014285714284,0.0,0.9320000000000002,0.06799999999999999
618787482224677,1.001157142857143,0.00012857142857142858,0.995257142857143,0.0046142857142857175
31028804052714,1.0290457142857143,0.007028571428571433,0.942257142857143,0.050714285714285705
848380339120121,1.0095828571428571,0.0,0.9346142857142855,0.06538571428571428
605895506705858,1.0116942857142857,0.0,0.9436857142857141,0.056314285714285726
371244909592213,1.0117114285714286,0.0,0.9463571428571431,0.05364285714285713
887691803963939,1.0066285714285717,0.0,0.9426285714285716,0.05737142857142857
341367030785281,1.2889185714285716,0.1145142857142857,0.7681857142857146,0.11730000000000003
510593232092641,1.011922857142857,0.0,0.9395428571428571,0.06045714285714286
150917535351633,1.0017599999999995,0.00021428571428571433,0.9941285714285716,0.0056571428571428614
453864874513756,1.0002714285714287,0.0,0.9974000000000002,0.002600000000000002
229070237359158,1.0005757142857152,8.571428571428571e-05,0.9970000000000001,0.002914285714285716
295338566340576,1.0100428571428575,0.0,0.958442857142857,0.041557142857142855
844835515273933,1.010567142857143,0.0013571428571428578,0.972842857142857,0.025799999999999983
315712195248884,1.1338728571428571,0.04624285714285712,0.8669285714285717,0.08682857142857146
546276473453276,1.3278157142857148,0.13288571428571427,0.7412857142857143,0.12582857142857148
1104211921913509,1.0013357142857144,0.00011428571428571428,0.9945285714285713,0.0053571428571428615
1082729744800802,1.0010014285714288,0.00011428571428571428,0.9958571428571426,0.004028571428571432
816040927085971,1.0044028571428572,2.857142857142857e-05,0.9600714285714289,0.0399
609367266722641,1.0089685714285714,0.0,0.9381285714285718,0.06187142857142856
